target_chembl_id,pref_name
CHEMBL2598,Protein kinase C iota type
CHEMBL2599,Tyrosine-protein kinase SYK
CHEMBL260,Mitogen-activated protein kinase 14
CHEMBL262,Glycogen synthase kinase-3 beta
CHEMBL2634,Tyrosine-protein kinase CSK
CHEMBL2637,Mitogen-activated protein kinase 10
CHEMBL267,Proto-oncogene tyrosine-protein kinase Src
CHEMBL2689,Macrophage-stimulating protein receptor
CHEMBL2695,Focal adhesion kinase 1
CHEMBL2708,Mitogen-activated protein kinase kinase kinase 11
CHEMBL2742,Fibroblast growth factor receptor 3
CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL2793,Casein kinase I isoform alpha
CHEMBL2801,Calcium/calmodulin-dependent protein kinase type II subunit delta
CHEMBL2803,Tyrosine-protein kinase ZAP-70
CHEMBL2815,High affinity nerve growth factor receptor
CHEMBL2828,Casein kinase I isoform delta
CHEMBL2835,Tyrosine-protein kinase JAK1
CHEMBL2842,Serine/threonine-protein kinase mTOR
CHEMBL2850,Glycogen synthase kinase-3 alpha
CHEMBL2872,Mitogen-activated protein kinase kinase kinase 9
CHEMBL2896,cGMP-dependent protein kinase 2
CHEMBL2897,Dual specificity mitogen-activated protein kinase kinase 4
CHEMBL2938,Protein kinase C gamma type
CHEMBL2939,Mitogen-activated protein kinase 13
CHEMBL2959,Tyrosine-protein kinase ITK/TSK
CHEMBL2964,Dual specificity mitogen-activated protein kinase kinase 2
CHEMBL2971,Tyrosine-protein kinase JAK2
CHEMBL2973,Rho-associated protein kinase 2
CHEMBL299,Protein kinase C alpha type
CHEMBL2996,Protein kinase C delta type
CHEMBL2999,Serine/threonine-protein kinase PAK 3
CHEMBL3009,Receptor tyrosine-protein kinase erbB-4
CHEMBL301,Cyclin-dependent kinase 2
CHEMBL3024,Serine/threonine-protein kinase PLK1
CHEMBL3032,Serine/threonine-protein kinase N2
CHEMBL3045,Protein kinase C beta type
CHEMBL3055,Cyclin-dependent kinase 7
CHEMBL308,Cyclin-dependent kinase 1
CHEMBL3094,MAP kinase-activated protein kinase 5
CHEMBL3116,Cyclin-dependent kinase 9
CHEMBL3123,Death-associated protein kinase 2
CHEMBL3125,Ribosomal protein S6 kinase alpha-4
CHEMBL3142,DNA-dependent protein kinase catalytic subunit
CHEMBL3231,Rho-associated protein kinase 1
CHEMBL3234,Tyrosine-protein kinase HCK
CHEMBL3290,Ephrin type-B receptor 2
CHEMBL331,Cyclin-dependent kinase 4
CHEMBL3357,Interleukin-1 receptor-associated kinase 1
CHEMBL3384,Serine/threonine-protein kinase N1
CHEMBL3385,Mitogen-activated protein kinase 3
CHEMBL3438,Protein kinase C zeta type
CHEMBL3476,Inhibitor of nuclear factor kappa-B kinase subunit alpha
CHEMBL3529,Inhibitor of nuclear factor kappa-B kinase subunit epsilon
CHEMBL3530,Dual specificity mitogen-activated protein kinase kinase 7
CHEMBL3553,Non-receptor tyrosine-protein kinase TYK2
CHEMBL3559692,Cyclin-dependent kinase 12
CHEMBL3582,Protein kinase C epsilon type
CHEMBL3587,Dual specificity mitogen-activated protein kinase kinase 1
CHEMBL3616,Protein kinase C eta type
CHEMBL3629,Casein kinase II subunit alpha
CHEMBL3650,Fibroblast growth factor receptor 1
