"ChEMBL ID"	"Name"	"Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL3778"	"Interleukin-1 receptor-associated kinase 4"	"Q9NWZ3"	"SINGLE PROTEIN"	"Homo sapiens"	"11188"	"32353"	"9606"	"False"
"CHEMBL3337330"	"Serine/threonine-protein kinase PINK1, mitochondrial"	"Q9BXM7"	"SINGLE PROTEIN"	"Homo sapiens"	"32"	"49"	"9606"	"False"
"CHEMBL6167"	"Serine/threonine-protein kinase LATS1"	"O95835"	"SINGLE PROTEIN"	"Homo sapiens"	"785"	"1839"	"9606"	"False"
"CHEMBL4578"	"Maternal embryonic leucine zipper kinase"	"Q14680"	"SINGLE PROTEIN"	"Homo sapiens"	"2668"	"3718"	"9606"	"False"
"CHEMBL5467"	"Bone morphogenetic protein receptor type-2"	"Q13873"	"SINGLE PROTEIN"	"Homo sapiens"	"578"	"740"	"9606"	"False"
"CHEMBL3357"	"Interleukin-1 receptor-associated kinase 1"	"P51617"	"SINGLE PROTEIN"	"Homo sapiens"	"1891"	"3212"	"9606"	"False"
"CHEMBL4924"	"Ribosomal protein S6 kinase alpha-6"	"Q9UK32"	"SINGLE PROTEIN"	"Homo sapiens"	"1144"	"2192"	"9606"	"False"
"CHEMBL2428"	"Myosin light chain kinase, smooth muscle"	"Q15746"	"SINGLE PROTEIN"	"Homo sapiens"	"925"	"1506"	"9606"	"False"
"CHEMBL4897"	"Serine/threonine-protein kinase PLK3"	"Q9H4B4"	"SINGLE PROTEIN"	"Homo sapiens"	"1670"	"2053"	"9606"	"False"
"CHEMBL5258"	"Calcium/calmodulin-dependent protein kinase type 1G"	"Q96NX5"	"SINGLE PROTEIN"	"Homo sapiens"	"529"	"636"	"9606"	"False"
"CHEMBL5330"	"Mitogen-activated protein kinase kinase kinase kinase 2"	"Q12851"	"SINGLE PROTEIN"	"Homo sapiens"	"2063"	"2888"	"9606"	"False"
"CHEMBL203"	"Epidermal growth factor receptor"	"P00533"	"SINGLE PROTEIN"	"Homo sapiens"	"18740"	"57722"	"9606"	"False"
"CHEMBL5427"	"Homeodomain-interacting protein kinase 1"	"Q86Z02"	"SINGLE PROTEIN"	"Homo sapiens"	"1057"	"1675"	"9606"	"False"
"CHEMBL6144"	"G protein-coupled receptor kinase 6"	"P43250"	"SINGLE PROTEIN"	"Homo sapiens"	"1011"	"1750"	"9606"	"False"
"CHEMBL5701"	"Serine/threonine-protein kinase TAO3"	"Q9H2K8"	"SINGLE PROTEIN"	"Homo sapiens"	"807"	"1115"	"9606"	"False"
"CHEMBL3834"	"Cytoplasmic tyrosine-protein kinase BMX"	"P51813"	"SINGLE PROTEIN"	"Homo sapiens"	"1391"	"2774"	"9606"	"False"
"CHEMBL5455"	"Tyrosine-protein kinase Fes/Fps"	"P07332"	"SINGLE PROTEIN"	"Homo sapiens"	"1692"	"2482"	"9606"	"False"
"CHEMBL4526"	"Ephrin type-A receptor 6"	"Q9UF33"	"SINGLE PROTEIN"	"Homo sapiens"	"339"	"436"	"9606"	"False"
"CHEMBL3920"	"Protein kinase C theta type"	"Q04759"	"SINGLE PROTEIN"	"Homo sapiens"	"2525"	"3612"	"9606"	"False"
"CHEMBL3438"	"Protein kinase C zeta type"	"Q05513"	"SINGLE PROTEIN"	"Homo sapiens"	"1795"	"2505"	"9606"	"False"
"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"P22455"	"SINGLE PROTEIN"	"Homo sapiens"	"3764"	"12481"	"9606"	"False"
"CHEMBL301"	"Cyclin-dependent kinase 2"	"P24941"	"SINGLE PROTEIN"	"Homo sapiens"	"7441"	"11236"	"9606"	"False"
"CHEMBL4851"	"Serine/threonine-protein kinase 38-like"	"Q9Y2H1"	"SINGLE PROTEIN"	"Homo sapiens"	"459"	"651"	"9606"	"False"
"CHEMBL4597"	"Cyclin-dependent kinase 16"	"Q00536"	"SINGLE PROTEIN"	"Homo sapiens"	"710"	"934"	"9606"	"False"
"CHEMBL5147"	"Ephrin type-B receptor 4"	"P54760"	"SINGLE PROTEIN"	"Homo sapiens"	"2539"	"4429"	"9606"	"False"
"CHEMBL3582"	"Protein kinase C epsilon type"	"Q02156"	"SINGLE PROTEIN"	"Homo sapiens"	"1188"	"1663"	"9606"	"False"
"CHEMBL1991"	"Inhibitor of nuclear factor kappa-B kinase subunit beta"	"O14920"	"SINGLE PROTEIN"	"Homo sapiens"	"3655"	"6123"	"9606"	"False"
"CHEMBL3629"	"Casein kinase II subunit alpha"	"P68400"	"SINGLE PROTEIN"	"Homo sapiens"	"2618"	"5264"	"9606"	"False"
"CHEMBL2527"	"Serine/threonine-protein kinase Chk2"	"O96017"	"SINGLE PROTEIN"	"Homo sapiens"	"2876"	"4311"	"9606"	"False"
"CHEMBL4937"	"Casein kinase I isoform epsilon"	"P49674"	"SINGLE PROTEIN"	"Homo sapiens"	"2443"	"4658"	"9606"	"False"
"CHEMBL2073"	"Tyrosine-protein kinase Yes"	"P07947"	"SINGLE PROTEIN"	"Homo sapiens"	"1800"	"3073"	"9606"	"False"
