molecule_chembl_id,target_chembl_id,pchembl_value,activity_type
CHEMBL1077741,CHEMBL4901,6.76,active
CHEMBL1077850,CHEMBL4901,4.82,inactive
CHEMBL1077979,CHEMBL3530,5.89,inactive
CHEMBL1077979,CHEMBL3587,7.819999999999999,active
CHEMBL1077979,CHEMBL4040,5.65,inactive
CHEMBL1077979,CHEMBL4522,8.42,active
CHEMBL1077979,CHEMBL5776,8.07,active
CHEMBL1078107,CHEMBL4901,7.18,active
CHEMBL1078108,CHEMBL4901,6.7,active
CHEMBL1078109,CHEMBL4901,6.62,active
CHEMBL1078166,CHEMBL2148,7.82,active
CHEMBL1078178,CHEMBL2148,6.81,active
CHEMBL1078178,CHEMBL2276,6.22,inactive
CHEMBL1078178,CHEMBL2508,5.47,inactive
CHEMBL1078178,CHEMBL2595,6.19,inactive
CHEMBL1078178,CHEMBL2637,5.92,inactive
CHEMBL1078178,CHEMBL2801,6.18,inactive
CHEMBL1078178,CHEMBL2835,7.96,active
CHEMBL1078178,CHEMBL2971,7.75,active
CHEMBL1078178,CHEMBL2973,6.66,active
CHEMBL1078178,CHEMBL301,5.67,inactive
CHEMBL1078178,CHEMBL3116,6.13,inactive
CHEMBL1078178,CHEMBL3231,5.87,inactive
CHEMBL1078178,CHEMBL3529,6.7,active
CHEMBL1078178,CHEMBL3553,7.52,active
CHEMBL1078178,CHEMBL3788,6.21,inactive
CHEMBL1078178,CHEMBL3829,6.22,inactive
CHEMBL1078178,CHEMBL3830,8.4,active
CHEMBL1078178,CHEMBL3831,6.21,inactive
CHEMBL1078178,CHEMBL3938,5.89,inactive
CHEMBL1078178,CHEMBL4070,6.52,active
CHEMBL1078178,CHEMBL4179,5.94,inactive
CHEMBL1078178,CHEMBL4224,6.04,inactive
CHEMBL1078178,CHEMBL4355,6.08,inactive
CHEMBL1078178,CHEMBL4522,6.38,inactive
CHEMBL1078178,CHEMBL4597,5.93,inactive
CHEMBL1078178,CHEMBL4900,6.28,inactive
CHEMBL1078178,CHEMBL5047,6.54,active
CHEMBL1078178,CHEMBL5257,6.66,active
CHEMBL1078178,CHEMBL5408,6.25,inactive
CHEMBL1078178,CHEMBL5579,6.5,active
CHEMBL1078178,CHEMBL5600,6.38,inactive
CHEMBL1078178,CHEMBL5679,6.54,active
CHEMBL1078178,CHEMBL5699,6.1,inactive
CHEMBL1078178,CHEMBL6149,6.07,inactive
CHEMBL1078214,CHEMBL4901,7.2,active
CHEMBL1078238,CHEMBL4901,4.7,inactive
CHEMBL1078239,CHEMBL4901,4.7,inactive
CHEMBL107826,CHEMBL258,7.62,active
CHEMBL1078542,CHEMBL4901,4.7,inactive
CHEMBL1078726,CHEMBL4901,4.7,inactive
CHEMBL1078738,CHEMBL4901,6.34,inactive
CHEMBL1078739,CHEMBL4901,7.22,active
CHEMBL1078785,CHEMBL258,5.04,inactive
CHEMBL1078785,CHEMBL4901,6.0,inactive
CHEMBL1078785,CHEMBL5014,5.82,inactive
CHEMBL1078840,CHEMBL4901,7.06,active
CHEMBL1078891,CHEMBL1957,7.5,active
CHEMBL1078892,CHEMBL1957,7.15,active
CHEMBL1078902,CHEMBL4901,4.7,inactive
CHEMBL1078965,CHEMBL4901,4.7,inactive
CHEMBL1078983,CHEMBL2842,8.0,active
CHEMBL1078991,CHEMBL1957,7.38,active
CHEMBL1079075,CHEMBL4901,4.7,inactive
CHEMBL1079135,CHEMBL4501,7.72,active
CHEMBL1079175,CHEMBL2431,6.225,inactive
CHEMBL1079175,CHEMBL4282,8.0,active
CHEMBL1079175,CHEMBL4816,5.65,inactive
CHEMBL1079227,CHEMBL4040,5.2,inactive
CHEMBL1079421,CHEMBL4040,4.5,inactive
CHEMBL1079460,CHEMBL4040,4.8,inactive
CHEMBL1079523,CHEMBL2148,8.22,active
CHEMBL1079523,CHEMBL2971,7.55,active
CHEMBL1079524,CHEMBL2148,6.66,active
CHEMBL1079524,CHEMBL2971,5.81,inactive
CHEMBL1079525,CHEMBL2148,7.02,active
CHEMBL1079525,CHEMBL2971,6.77,active
CHEMBL1079526,CHEMBL2148,7.32,active
CHEMBL1079526,CHEMBL2971,7.01,active
CHEMBL1079594,CHEMBL2148,9.0,active
CHEMBL1079594,CHEMBL2971,8.3,active
CHEMBL1079742,CHEMBL1824,5.72,inactive
CHEMBL1079742,CHEMBL203,7.16,active
CHEMBL1079785,CHEMBL5145,8.06,active
CHEMBL1079935,CHEMBL2842,4.63,inactive
CHEMBL1079935,CHEMBL4040,4.6,inactive
CHEMBL108,CHEMBL4040,7.0,active
CHEMBL1080110,CHEMBL2148,6.58,active
CHEMBL1080110,CHEMBL2971,7.02,active
CHEMBL1080111,CHEMBL2148,7.52,active
CHEMBL1080111,CHEMBL2971,6.54,active
CHEMBL1080151,CHEMBL2971,7.6,active
CHEMBL1080221,CHEMBL4901,4.7,inactive
CHEMBL1080222,CHEMBL4901,4.7,inactive
CHEMBL1080223,CHEMBL4901,4.82,inactive
CHEMBL1080268,CHEMBL5145,6.08,inactive
CHEMBL1080269,CHEMBL5145,6.51,active
CHEMBL1080271,CHEMBL1824,5.42,inactive
