ChEMBL ID,Name,Accessions,Type,Organism,Compounds,Activities
CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Q9NWZ3,SINGLE PROTEIN,Homo sapiens,11188,32353
CHEMBL6167,Serine/threonine-protein kinase LATS1,O95835,SINGLE PROTEIN,Homo sapiens,785,1839
CHEMBL4578,Maternal embryonic leucine zipper kinase,Q14680,SINGLE PROTEIN,Homo sapiens,2668,3718
CHEMBL5467,Bone morphogenetic protein receptor type-2,Q13873,SINGLE PROTEIN,Homo sapiens,578,740
CHEMBL3357,Interleukin-1 receptor-associated kinase 1,P51617,SINGLE PROTEIN,Homo sapiens,1891,3212
CHEMBL4924,Ribosomal protein S6 kinase alpha-6,Q9UK32,SINGLE PROTEIN,Homo sapiens,1144,2192
CHEMBL2428,"Myosin light chain kinase, smooth muscle",Q15746,SINGLE PROTEIN,Homo sapiens,925,1506
CHEMBL4897,Serine/threonine-protein kinase PLK3,Q9H4B4,SINGLE PROTEIN,Homo sapiens,1670,2053
CHEMBL5330,Mitogen-activated protein kinase kinase kinase kinase 2,Q12851,SINGLE PROTEIN,Homo sapiens,2063,2888
CHEMBL203,Epidermal growth factor receptor,P00533,SINGLE PROTEIN,Homo sapiens,18740,57722
CHEMBL5427,Homeodomain-interacting protein kinase 1,Q86Z02,SINGLE PROTEIN,Homo sapiens,1057,1675
CHEMBL6144,G protein-coupled receptor kinase 6,P43250,SINGLE PROTEIN,Homo sapiens,1011,1750
CHEMBL5701,Serine/threonine-protein kinase TAO3,Q9H2K8,SINGLE PROTEIN,Homo sapiens,807,1115
CHEMBL3834,Cytoplasmic tyrosine-protein kinase BMX,P51813,SINGLE PROTEIN,Homo sapiens,1391,2774
CHEMBL5455,Tyrosine-protein kinase Fes/Fps,P07332,SINGLE PROTEIN,Homo sapiens,1692,2482
CHEMBL3920,Protein kinase C theta type,Q04759,SINGLE PROTEIN,Homo sapiens,2525,3612
CHEMBL3438,Protein kinase C zeta type,Q05513,SINGLE PROTEIN,Homo sapiens,1795,2505
CHEMBL3973,Fibroblast growth factor receptor 4,P22455,SINGLE PROTEIN,Homo sapiens,3764,12481
CHEMBL301,Cyclin-dependent kinase 2,P24941,SINGLE PROTEIN,Homo sapiens,7441,11236
CHEMBL4597,Cyclin-dependent kinase 16,Q00536,SINGLE PROTEIN,Homo sapiens,710,934
CHEMBL5147,Ephrin type-B receptor 4,P54760,SINGLE PROTEIN,Homo sapiens,2539,4429
CHEMBL3582,Protein kinase C epsilon type,Q02156,SINGLE PROTEIN,Homo sapiens,1188,1663
CHEMBL1991,Inhibitor of nuclear factor kappa-B kinase subunit beta,O14920,SINGLE PROTEIN,Homo sapiens,3655,6123
CHEMBL3629,Casein kinase II subunit alpha,P68400,SINGLE PROTEIN,Homo sapiens,2618,5264
CHEMBL2527,Serine/threonine-protein kinase Chk2,O96017,SINGLE PROTEIN,Homo sapiens,2876,4311
CHEMBL4937,Casein kinase I isoform epsilon,P49674,SINGLE PROTEIN,Homo sapiens,2443,4658
CHEMBL2073,Tyrosine-protein kinase Yes,P07947,SINGLE PROTEIN,Homo sapiens,1800,3073
CHEMBL1844,Macrophage colony-stimulating factor 1 receptor,P07333,SINGLE PROTEIN,Homo sapiens,4826,9963
CHEMBL3587,Dual specificity mitogen-activated protein kinase kinase 1,Q02750,SINGLE PROTEIN,Homo sapiens,3199,5281
CHEMBL5469,Protein-tyrosine kinase 2-beta,Q14289,SINGLE PROTEIN,Homo sapiens,2157,3061
CHEMBL5251,Tyrosine-protein kinase BTK,Q06187,SINGLE PROTEIN,Homo sapiens,14853,61728
CHEMBL2959,Tyrosine-protein kinase ITK/TSK,Q08881,SINGLE PROTEIN,Homo sapiens,3410,7443
CHEMBL3055,Cyclin-dependent kinase 7,P50613,SINGLE PROTEIN,Homo sapiens,1439,2329
CHEMBL2708,Mitogen-activated protein kinase kinase kinase 11,Q16584,SINGLE PROTEIN,Homo sapiens,944,2096
CHEMBL4128,Angiopoietin-1 receptor,Q02763,SINGLE PROTEIN,Homo sapiens,2405,3535
CHEMBL5903,Activin receptor type-1,Q04771,SINGLE PROTEIN,Homo sapiens,2353,7015
CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,P36888,SINGLE PROTEIN,Homo sapiens,8546,19473
CHEMBL4482,Serine/threonine-protein kinase PAK 4,O96013,SINGLE PROTEIN,Homo sapiens,2573,3459
CHEMBL1936,Mast/stem cell growth factor receptor Kit,P10721,SINGLE PROTEIN,Homo sapiens,6372,24367
CHEMBL1981,Insulin receptor,P06213,SINGLE PROTEIN,Homo sapiens,4064,5994
CHEMBL279,Vascular endothelial growth factor receptor 2,P35968,SINGLE PROTEIN,Homo sapiens,16941,29352
CHEMBL2996,Protein kinase C delta type,Q05655,SINGLE PROTEIN,Homo sapiens,2417,3138
CHEMBL6030,Eukaryotic translation initiation factor 2-alpha kinase 3,Q9NZJ5,SINGLE PROTEIN,Homo sapiens,473,916
CHEMBL5073,Calcium/calmodulin-dependent protein kinase type 1D,Q8IU85,SINGLE PROTEIN,Homo sapiens,1529,2637
CHEMBL5072,Ephrin type-B receptor 1,P54762,SINGLE PROTEIN,Homo sapiens,665,992
CHEMBL5754,MAP/microtubule affinity-regulating kinase 4,Q96L34,SINGLE PROTEIN,Homo sapiens,1076,1676
CHEMBL5311,Activin receptor type-1-like,P37023,SINGLE PROTEIN,Homo sapiens,788,1983
