target_chembl_id,assay_chembl_id,confidence_score,assay_type
CHEMBL5579,CHEMBL2394172,9,B
CHEMBL5579,CHEMBL2428169,9,B
CHEMBL5579,CHEMBL2429324,9,B
CHEMBL5579,CHEMBL3112113,9,B
CHEMBL5579,CHEMBL3370292,9,B
CHEMBL5579,CHEMBL3631913,9,B
CHEMBL5579,CHEMBL3991667,9,B
CHEMBL5579,CHEMBL4025066,9,B
CHEMBL5579,CHEMBL4031395,9,B
CHEMBL5579,CHEMBL4043877,9,B
CHEMBL5579,CHEMBL4048336,9,B
CHEMBL5579,CHEMBL4055173,9,B
CHEMBL5579,CHEMBL4151447,9,B
CHEMBL5579,CHEMBL4156956,9,B
CHEMBL5579,CHEMBL4185735,9,B
CHEMBL5579,CHEMBL4230635,9,B
CHEMBL5579,CHEMBL4233304,9,B
CHEMBL5579,CHEMBL4235335,9,B
CHEMBL5579,CHEMBL4264224,9,B
CHEMBL5579,CHEMBL4307739,9,B
CHEMBL5579,CHEMBL4314705,9,B
CHEMBL5579,CHEMBL4322849,9,B
CHEMBL5579,CHEMBL4327886,9,B
CHEMBL5579,CHEMBL4328250,9,B
CHEMBL5579,CHEMBL4328614,9,B
CHEMBL5579,CHEMBL4333330,9,B
CHEMBL5579,CHEMBL4335042,9,B
CHEMBL5579,CHEMBL4336870,9,B
CHEMBL5579,CHEMBL4338248,9,B
CHEMBL5579,CHEMBL4347697,9,B
CHEMBL5579,CHEMBL4347698,9,B
CHEMBL5579,CHEMBL4351821,9,B
CHEMBL5579,CHEMBL4357813,9,B
CHEMBL5579,CHEMBL4365657,9,B
CHEMBL5579,CHEMBL4366599,9,B
CHEMBL5579,CHEMBL4382444,9,B
CHEMBL5579,CHEMBL4389163,9,B
CHEMBL5579,CHEMBL4389640,9,B
CHEMBL5579,CHEMBL4391266,9,B
CHEMBL5579,CHEMBL4405574,9,B
CHEMBL5579,CHEMBL4602941,9,B
CHEMBL5579,CHEMBL4620300,9,B
CHEMBL5579,CHEMBL4674188,9,B
CHEMBL5579,CHEMBL4720544,9,B
CHEMBL5579,CHEMBL4720888,9,B
CHEMBL5579,CHEMBL4737619,9,B
CHEMBL5579,CHEMBL4804313,9,B
CHEMBL5579,CHEMBL4804849,9,B
CHEMBL5579,CHEMBL4805437,9,B
CHEMBL5579,CHEMBL4805941,9,B
CHEMBL5579,CHEMBL4806454,9,B
CHEMBL5579,CHEMBL4829149,9,B
CHEMBL5579,CHEMBL4829163,9,B
CHEMBL5579,CHEMBL4830426,9,B
CHEMBL5579,CHEMBL4879639,9,B
CHEMBL5579,CHEMBL4884665,9,B
CHEMBL5579,CHEMBL4884956,9,B
CHEMBL5579,CHEMBL4885247,9,B
CHEMBL5579,CHEMBL4887833,9,B
CHEMBL5579,CHEMBL5049721,9,B
CHEMBL5579,CHEMBL5058383,9,B
CHEMBL5579,CHEMBL5059090,9,B
CHEMBL5579,CHEMBL5059595,9,B
CHEMBL5579,CHEMBL5111435,9,B
CHEMBL5579,CHEMBL5119662,9,B
CHEMBL5579,CHEMBL5161247,9,B
CHEMBL5579,CHEMBL5167085,9,B
CHEMBL5579,CHEMBL5214018,9,B
CHEMBL5579,CHEMBL5316865,9,B
CHEMBL5579,CHEMBL5338575,9,B
CHEMBL5579,CHEMBL5363964,9,B
CHEMBL5579,CHEMBL5378466,9,B
CHEMBL5579,CHEMBL5464488,9,B
CHEMBL5579,CHEMBL5464866,9,B
CHEMBL5579,CHEMBL5465690,9,B
CHEMBL5579,CHEMBL5466082,9,B
CHEMBL5579,CHEMBL5466230,9,B
CHEMBL5579,CHEMBL5466468,9,B
CHEMBL5579,CHEMBL5467392,9,B
CHEMBL5579,CHEMBL5467847,9,B
CHEMBL5579,CHEMBL5468410,9,B
CHEMBL5579,CHEMBL5468411,9,B
CHEMBL5579,CHEMBL5472160,9,B
